Card,Average
Xenan Banner,2.5
Skycrag Banner,2.5
Praxis Banner,2.5
Hooru Banner,2.5
Argenport Banner,2.5
Stonescar Banner,2.5
Rakano Banner,2.5
Feln Banner,2.5
Elysian Banner,2.5
Combrei Banner,2.5
Xenan Stranger,3.0
Skycrag Stranger,3.0
Praxis Stranger,3.0
Hooru Stranger,3.0
Argenport Stranger,3.0
Stonescar Stranger,3.0
Rakano Stranger,3.0
Feln Stranger,3.0
Elysian Stranger,3.0
Combrei Stranger,3.0
Crest of Glory,3.5
Crest of Mystery,3.5
Crest of Order,3.5
Crest of Progress,3.5
Crest of Impulse,3.5
Crest of Fury,3.5
Crest of Wisdom,3.5
Crest of Chaos,3.5
Crest of Vengeance,3.5
Crest of Cunning,3.5
Jennev Cargo,2
Ixtun Cargo,2
Winchest Cargo,2
Kerendon Cargo,2
Auralian Cargo,2
Token of Instinct,2
Token of Honor,2
Token of Ambition,2
Token of Vision,2
Token of Knowledge,2
Praxis Insignia,2.5
Stonescar Insignia,2.5
Combrei Insignia,2.5
Hooru Insignia,2.5
Feln Insignia,2.5
