Card,Average
A New Tomorrow,0
Accelerate,0
Accelerated Evolution,5
Accelerated Impact,1
Adaptive Predator,4
Aerial Ace,1.5
Aerial Attendant,2.125
Aerialist Trainer,3.166666667
Aerialist's Khopesh,1.5
Affliction,1.458333333
Ageless Mentor,4.166666667
Ageless Sentinel,2.875
Agile Deathjaw,1.916666667
Aid of the Hooru,0
Alchemical Blast,2.333333333
All Banners,2.166666667
All Influence Strangers,2.833333333
Alluring Ember,0.5
"Alu, Death-Dreamer",2.541666667
Amaran Archaeologist,2.333333333
Amaran Camel,1.333333333
Amaran Shoveler,0.541666667
Amber Acolyte,3.333333333
Amber Monument,3.5
Amber Ring,1.333333333
Amber Waystone,1.875
Amethyst Acolyte,3.166666667
Amethyst Monument,2.5
Amethyst Ring,0.666666667
Amethyst Waystone,1.666666667
"Amilli, Cloudmarshal",4.666666667
Ancient Bauble,0.791666667
Ancient Defenses,2.916666667
Ancient Lore,1.166666667
Ancient Terrazon,3.5
Annihilate,4
Arachnophobia,0.666666667
Araktodon,0.666666667
Archive Curator,4
Argenport Instigator,3
Argenport Ringmaster,2.833333333
Argenport Soldier,2.166666667
Armorsmith,0.5
"Ashara, Ruthless Assasin",3.5
"Ashara, the Deadshot",4.5
Ask for Directions,0.041666667
Assembly Line,2.333333333
Audacious Bandit,2
Augmented Form,4.333333333
Auric Bully,2.666666667
Auric Record Keeper,3.75
Auric Runehammer,3.666666667
Auric Sentry,3.166666667
Auric Vigilante,2.833333333
Avirax Familiar,3
Awakened Sentinel,2.833333333
Awakened Student,4
"Ayan, the Abductor",4
Azindel's Gift,0
Azurite Prixis,0
Back-Alley Bouncer,1.166666667
Backlash,0.5
Backpacker's Machete,2.333333333
Bad News,0.666666667
Bandit Queen,3.666666667
Banish,3.5
Barbarian Camp,1.291666667
Barkeep's Friend,1.25
"Bartholo, the Seducer",3.333333333
Battle-Tested Stranger,1.166666667
Battleblur Centaur,1.666666667
Battlefield Scavenger,2.875
Baying Serasaur,2.5
Beastcaller's Amulet,3.333333333
Beckoning Lumen,3.166666667
Belching Behemoth,0.833333333
Bellowing Thunderfoot,2.25
Bereaved Stranger,2.666666667
"Bisma, Revered Elder",2.125
Black Iron Manacles,0
Black-Sky Harbinger,4.833333333
Blackguard Sidearm,2.833333333
Bladekin Apprentice,3.5
Blind Storyteller,1.333333333
Blinkwolf,2.833333333
Blistersting Wasp,3.5
Blood Beetle,1.5
Bloodcall Invocation,0.166666667
Bloodcall Invoker,3
Bloodletter,4.166666667
Bloodrite Kalis,0.166666667
Bold Adventurer,3
Bolster,2.666666667
Boltcrafter Shaman,1.166666667
Borderlands Waykeeper,3
Brash Shorthorn,2.333333333
Brazen Daredevil,0.5
Brightmace Paladin,3
Brilliant Discovery,0.833333333
Brimstone Altar,0.166666667
Bring Down,3
Bronze Cuirass,1.166666667
Burn Out,2
Burning Glaive,0.666666667
Cabal Bludgeoner,2.166666667
Cabal Countess,3.666666667
Cabal Cutthroat,2.5
Cabal Recruiter,1.666666667
Cabal Rogue,1.166666667
Cabal Slasher,1
Calderan Cradle,0.333333333
Calderan Gunsmith,1.166666667
Call the Ancients,2.5
Callous Survivalist,1.708333333
Caltrops,1
Camp Physician,0.833333333
Cannonbearer,3.5
Cat Burglar,3.166666667
Celestial Omen,0.666666667
Censari Brigand,1.5
Centaur Outrider,0.5
Centaur Raidleader,2
Ceremonial Mask,3.166666667
Challenge by Law,3.416666667
Champion of Chaos,3.5
Champion of Cunning,3.166666667
Champion of Fury,2.833333333
Champion of Glory,3.5
Champion of Impulse,1.333333333
Champion of Mystery,3.5
Champion of Order,0.5
Champion of Progress,2.5
Champion of Vengeance,2.833333333
Champion of Wisdom,3.5
Channel the Tempest,1.333333333
Charchain Flail,2.166666667
"Cirso, the Great Glutton",4.666666667
Cirso's Meddling,1
Civic Peacekeeper,0.833333333
Clan Hero,3
Claw of the First Dragon,3
Clever Stranger,0.666666667
Clockroach,2.833333333
Cloud of Ash,1.166666667
Cloudsnake Breeder,1.166666667
Cloudsnake Harrier,4
Cloudsnake Hatchling,1.166666667
Cloudsnake Saddle,1.333333333
Clutchkeeper,0.25
Clutchmate,1.958333333
Coalscrounger,1.708333333
Cobalt Acolyte,3.166666667
Cobalt Monument,4
Cobalt Ring,0.833333333
Cobalt Waystone,1.75
Combrei Healer,3.166666667
Combrei Magister,1.166666667
Combust,1.666666667
Combustion Cell,0.166666667
Common Cause,0.583333333
Copper Conduit,2.833333333
Copperhall Blessing,0.833333333
Copperhall Cudgel,3
Copperhall Elite,3.5
Copperhall Herald,2.166666667
Copperhall Marshal,2.916666667
Copperhall Porter,2.541666667
Copperhall Recruit,1.333333333
Copperhall Shieldman,1.5
Corrupt,0.5
Cover of Darkness,1.416666667
Cowardice,1.166666667
Crackshot Fugitive,2.541666667
Crafty Yeti,3
Cripple,1.5
Crowd Favorite,1.333333333
Crown of Authoriy,0.333333333
Crown of Possibilities,1.333333333
Crownwatch Cavalry,3.166666667
Crownwatch Deserter,3
Crownwatch Legionnaire,1.541666667
Crownwatch Longsword,2.5
Crownwatch Paladin,2.666666667
Crownwatch Press-Gang,2
Crownwatch Quartermaster,4.041666667
Crownwatch Squire,0.5
Crownwatch Traitor,4
Cryptic Etchings,1.625
Crystalline Chalice,4.5
Crystallize,5
Cult Aspirant,0.5
Curfew Enforcement,2.125
"Curiox, Insatiable Seeker",1.916666667
"Curiox, the Collector",3.833333333
Curse of Taxation,0.041666667
Cutbrush Cartographer,1.291666667
Dangerous Bargain,2.625
Daring Pioneer,3.333333333
Dark Return,3.333333333
Dark Wisp,1.833333333
Darkbolt,1.958333333
Darkclaw Ravager,1.375
Darkveil Agent,2.375
Dawnwalker,1.166666667
Daze,0.333333333
Deadly Confrontation,3.875
Deathstrike,4
Decay,0.166666667
Decimate,0.166666667
Deepforged Plate,4.5
Deepwood Ranger,2.125
Deranged Dinomancer,4
Desert Marshal,3.833333333
Desperado,2.333333333
Detain,1
Determined Stranger,2.5
Devastating Setback,2.416666667
Devious Drone,2.916666667
Devour,1.666666667
Dig Site,1
Dinosaur Stampede,0.25
Diogo Málaga,4
Diplomatic Seal,1.5
Direfang Spider,1.333333333
Direwood Beastcaller,2.833333333
Direwood Prowler,3.166666667
Direwood Rampager,1.166666667
Disassembler,2.416666667
Disciplined Amanera,1
Disjunction,1.333333333
Dispel,2.833333333
District Infantry,2.666666667
Divining Rod,0.666666667
Dormant Sentinel,2
Dragonbreath,3
Dreamsnatcher,3.083333333
Drifting Death,1.666666667
Duelist's Blade,3.666666667
Dune Phantom,2.666666667
Duskcaller,1.875
Duskwalker,3.5
Dustblind,0.333333333
Dusthoof Brawler,1.166666667
Eager Owlet,1.5
East-Wind Herald,2.666666667
"Eilyn, Clan Mother",4.833333333
"Eilyn, Queen of the Wilds",1.5
Eilyn's Frostrider,4.25
Eilyn's Intervention,2.083333333
Eilyn's Choice,3.166666667
Elder's Feather,3.166666667
Electropy,0.125
"Elias, the Broken Wing",3.5
Elysian Pathfinder,1.333333333
Elysian Trailblazer,1
Emerald Acolyte,0.666666667
Emerald Monument,3.166666667
Emerald Ring,3
Emerald Spear,0.958333333
Emerald Waystone,1.875
Emerging Colossus,1
Encroaching Darkness,0.833333333
Enlightened Stranger,1.666666667
Entrapment,3.083333333
Envelop,1.166666667
Ephemeral Wisp,0.666666667
"Evelina, Valley Searcher",3
Excavate,0.166666667
Excavation Assistant,1.166666667
Execute,3.5
Explorer Emeritus,4
Extinguish,3.416666667
Extract,3.5
Eye of Winter,4.333333333
Failed Reflection,3.291666667
Fallen Oni,0.333333333
False Prince,3.5
Family Charter,1.541666667
Fantastic Revelation,0.083333333
Farplace Finder,0.875
Fearless Nomad,2.5
Fearless Yeti,3.041666667
Feeding Time,4
Feln Bloodcaster,3.166666667
Feln Cauldron,0
Fencing Master,1.5
Ferocious Stranger,1
Fevered Scout,1.166666667
Field Captain,2
Final-Shot Rioter,2.166666667
Finback Komonat,1.208333333
Find the Way,1
Finest Hour,3.333333333
Firemane Cub,0.666666667
First Watch,0.041666667
First-Shot Rioter,2.75
Fishing Dinoch,2.375
Flame Blast,3.333333333
Flamestoker,4.166666667
Flash Freeze,2.666666667
Flashy Duelist,2.083333333
Flight Lieutenant,1
Foothills Alpha,1.333333333
Foraging Sauropod,2.208333333
Forge Wolf,0.166666667
Forgotten Find,0
Forsworn Stranger,2
Fortunate Stranger,1.333333333
Fourth-Tree Elder,4.166666667
Freewing Glider,3.083333333
Frenzied Omnivore,3.75
Friendly Wisp,1.333333333
Frontier Confessor,3.416666667
Frontier Jito,0.166666667
Frontline Cyclops,2.5
Furnace Mage,3
Gear Master,2.291666667
Gearcruncher,2.916666667
General Izalio,4.333333333
Ghostform,0.333333333
Gilded Glaive,3
Gloaming Wisp,0.875
Gorgon Fanatic,3
Gorgon Swiftblade,3
Granite Acolyte,3
Granite Monument,1.666666667
Granite Ring,1.166666667
Granite Waystone,2.208333333
Grasping at Shadows,0.666666667
Great-Kiln Titan,3.583333333
Grenade,1.166666667
Grenadin Bellower,2.875
Grenadin Cannoneer,1
Grenadin Drone,2.833333333
Grenamender,0.5
Grim Stranger,2.333333333
"Grinva, Judge of Battles",2.833333333
Ground Crew,1.958333333
Groundbreaker,3.666666667
Guerrilla Fighter,1.5
Gun Down,3.333333333
Gunrustler,1.166666667
Hair-Trigger Stranger,2.5
Hall of Lost Kings,0.666666667
Hammer of Authority,3.583333333
Hammer of Might,4.166666667
Harsh Rule,4.166666667
Hatchery Hunter,3.666666667
Hatecleaver,1.5
Haunting Scream,0.833333333
Headsman's Axe,1.583333333
Healer's Cloak,2.666666667
Heart of the Vault,3.833333333
Hearty Stranger,0.166666667
Heavy Axe,1
Hellfire Oni,2.625
Hellfire Rifle,0.5
Helpful Doorbot,0.5
Herald's Song,0.833333333
Hero of the People,1.666666667
Heroic Bravo,2.208333333
Hesitate,0.25
Hidden Shiv,0.666666667
Hideout Pistol,2.708333333
Highbranch Sentry,2.666666667
Highwind Glider,2.833333333
Hipshot,2.333333333
Hissing Spiketail,1.208333333
Hoof Slash,1.333333333
Hooru Envoy,1.166666667
Hooru Fledgling,2.333333333
Horizon Seeker,1
Horned Vorlunk,2.333333333
Horngrinder,1
Horsesnatcher Bat,3.333333333
Hotbarrel Revolver,3.5
Humble Instructor,1.208333333
Humbug,0.333333333
Humbug Swarm,3.5
Hunter's Harpoon,2.833333333
Hunting Pteriax,4
"Icaria, the Liberator",4.166666667
Ice Sprite,3.333333333
Iceberg Frontrunner,0.625
Iceberg Mason,2.75
Iceberg Warchief,3.375
Icebow,2
Icebreaker,1
Iceknuckle Jotun,1.333333333
Icequake,0.666666667
Idol of Destran,1.833333333
"Ijin, Imperial Armorer",4.833333333
Impending Doom,4.5
Improvised Rubbler,2.041666667
Infernal Tyrant,3.5
Infernus,0.166666667
Infinite Hourglass,0.5
Infused Strike,2.166666667
Initiate of the Sands,2.833333333
Inner Fire,0.208333333
Inquisitor Makto,4.666666667
Inquisitor's Halberd,3
Insistent Automaton,3.208333333
Inspire,1
Inspire Obedience,1.5
Into the Furnace,2.75
Intriguing Ancient,1.583333333
Invoke the Waystones,0.166666667
Ironclad Oath,1.916666667
Jack's Knife,2.666666667
Jarrall Iceheart,3.166666667
Jarrall's Frostkin,3.5
Jawbone Hatchet,1.166666667
"Jekk, Hunted Fugitive",4.666666667
Jotun Birth Song,0.875
Jotun Cyclops,3
Jotun Feast-Caller,3
Jotun Hurler,3.5
Jotun Punter,2.666666667
Jotun Warrior,1.333333333
Journeyman Armorer,3.166666667
Jump Kick,1.583333333
"Kaleb, Reborn",3.666666667
"Kaleb, Uncrowned Prince",1.333333333
Kaleb's Intervention,1
Kaleb's Choice,1
Karmic Guardian,3.666666667
"Katra, the Devoted",3.5
Kennelmaster,0.916666667
Knifejack,2
Knight-Chancellor Siraf,4.666666667
Knucklebones,4.166666667
"Kothon, the Far-Watcher",4.5
"Kyojun, Grand Shugo",2.916666667
Last Stand at the Gate,3.416666667
Lastlight Druid,2.583333333
Lastlight Infusion,1.083333333
Lavablood Goliath,0.833333333
Lawman's Sidearm,2.625
Leave a Witness,4.166666667
Lethrai Falchion,4.166666667
Lethrai Memory-Keeper,0.833333333
Lethrai Nightblade,3
Lethrai Ranger,2.833333333
Levitate,2.833333333
Library Phoenix,1
"Lida, Most Skilled",3.375
Lifedrinker,1.5
Light the Fuse,0.5
Lightning Storm,2.5
Lightning Strike,2.833333333
Longhorn Sergeant,2.166666667
Longshot Marksman,3
Lost in the Mist,1.083333333
Loyal Watchwing,1.333333333
Lucky Prospector,0.75
Lumbering Gruan,1.166666667
Lumen Defender,3.333333333
Lumen Reclaimer,3.166666667
Lumen Shepherd,2.833333333
Lunar Magus,3.041666667
Lurking Sanguar,1.833333333
Madness,1
Maelstrom Bell,0
Magma Javelin,3
Magus of the Mist,4
Maimed Watchwing,1.25
Malediction Reader,4
"Marisen, the Eldest",4.5
Marisen's Disciple,3.666666667
Mark of Shame,0.833333333
Marshal Ironthorn,3.166666667
Master's Lesson,0
Mating Call,0
Means to an End,0.166666667
Meditation Trainer,1.375
Meditative Stranger,0.833333333
Memory Dredger,4.5
Merciless Stranger,1
Midnight Gale,3.666666667
Milos Izalio,3.041666667
Mind Link,0
Miner's Musket,3.166666667
Minotaur Ambassador,1
Minotaur Duelist,3.333333333
Minotaur Grunt,2.5
Minotaur Lighthoof,3.5
Minotaur Oathkeeper,3.166666667
"Minsod, the Peerless",2.708333333
Miris Nightshade,3
Mirror Image,2.333333333
Mistveil Drake,4.166666667
Mithril Mace,2.5
Molot & Nakova,3.5
Molten Fist,3.541666667
