Card,Average
Xo of the Endless Hoard,4
Siege Breaker,4
Phoenix Stone,4
Shingane Forge,4
Shingane Firebrand,4
Conflagrate,3
Forgeborn,3
Notorious Scoundrel,3
Oni Forgemaster,3
"Nika, the Freescaler",3
Flamebrewer,3
Plunder,3
Fireheart Recruit,3
Hardsight Cyclops,3
Dune Painter,3
Shingane Captain,2
Gilded Flames,2
Grandfather's Axe,2
Hordeleader,2
Firemane Lioness,2
Lazy Firemane,2
Magmatic Sentinel,2
Urn of Choking Embers,2
Phoenix Hammer,2
Surveilor,2
Bottoms Up,1
Sunscorched Elemental,1
Softfoot Burglar,1
Cautious Traveler,1
Bladerang,1
Spitfire,1
Ruckus Rouser,1
Shiftstone Processor,1
Melt Down,1
Flametail Whip,1
Ashen Snakepit,1
Research Assistant,0
Thrashing Dune Wurm,5
"Cykalis, the Burning Sand",4
Moonstone Vanguard,4
Antique Polisher,4
Bazaar Trickster,3
Eternity Core,3
Resolute Monk,3
Pompous Historian,3
Locust,3
Ancient Excavator,3
Unraveling Fanatic,3
Araktodon Egg,3
Maddening Whisper,3
Infused Guardian,3
Be Gone,3
"Ravid, Insect Master",3
Twinfang Cobra,2
Powerbreach Sentinel,2
Sandcrawler,2
Crested Runt,2
Awaken the Ages,2
Sirocco Glider,2
The Praxis Arcanum,2
Temple Captain,2
Mesmerized Moth,2
Temple Artisan,2
Unearth the Past,2
Pit of Lenekta,2
Vapor Hut,1
Scorpion,1
Packbeast,1
Runic Protector,1
Confiscate,1
Dissociate,1
Porcelain Mask,1
Sustaining Harp,0
Etched Monolith,0
"Kemmo, Ijin's Apprentice",5
Golem Press,4
Xulta Foil,4
"Hojan, Crownbreaker", 3
Rallying Banner,3
Avigraft,3
Defiance,3
Siraf's Beacon,3
Kosul Elite,3
Fall Short,3
New Order Watchwing,3
Imperial Loyalist,3
Warband Skald,3
Loyal Falcon,3
"Reyna, the Unwavering",3
Axe Sharpener,3
Barrel Through,3
Svetya's Bravery,2
Auric Weaponsmith,2
Aerial Spotter,2
Unmoored Valkyrie,2
Kosul Recruit,2
Steel-Eyed Pistoleer,2
Broken Wing Brawler,2
Fur Hat,2
Oni Samurai,2
Crownwatch Captain,2
Pistolwhip,2
Savior of the Meek,2
Martyr's Chains,2
Endure,1
Kosul Diplomat,1
Rotorsmith,1
Oathkeeper's Hammer,1
Defender's Bulwark,1
Adjudicator's Gavel,0
Chancellor's Horn,0
Clutch of Talons,5
Skycrag Scalebreaker,4
Frostwave,4
Shapeshifter's Mask,4
Courier Albatross,3
Shaluuk Captain,3
Cliffdiver Mantasaur,3
Shadowlands Borderscout,3
Parry,3
"Eilyn, the Rising Storm",3
Glacier Shaper,3
Snowdrift Delver,3
Storm Spiral,3
Elvish Swindler,3
Frost Talisman,3
Acantha's Outrider,3
Kosul Huntsman,3
Mass Entomancy,2
Quicksilver Mirror,2
Pitfall Trap,2
Mischief Yeti,2
Master Cartographer,2
Sudden Schism,2
Reclusive Scholar,2
Court Mage,2
Stormtamer Operative,2
Savagery,2
Snowsculptor,2
Starved Vorlunk,1
Crystal Dirk,1
Fledgling Avisaur,1
Brilliant Idea,1
Wind Cloak,1
Reinforced Towershield,1
Steely Resolve,0
Lens of Clarity,0
Rejection,0
Dizo's Office,5
Elder Astrologer,4
"Rhysta, Acantha's Herald",4
Auric Captain,3
Mob Rule,3
Fear Made Flesh,3
Kerendon Steward,3
Warlock's Brew,3
Eye for an Eye,3
Consuming Greed,3
Improvised Club,3
Curator's Spear,3
Pillar of Dreams,3
Lethrai Lobotomy,3
Fangs in the Dark,3
Heirloom Seeker,3
Sadistic Glee,2
Flickerling,2
Lethrai Intimidator,2
"Tavia, Lethrai Raidleader",2
Mug,2
Mournful Deathcap,2
Bloodlust,2
Obliviobot,2
Governor Sahin,2
Umbral Edge,2
Scavenge,2
Dumping Ground,2
Rat Cage,2
Secret Passage,1
Breathstealer,1
Direwood Slasher,1
"Acantha, the Huntress",1
Cabal Scavenger,1
Borrowed Violence,0
Weary Spiteling,0
Blood Quill,0
Howling Peak,5
"Aniyah, Arctic Sheriff",5
"Grinva, Breaker of Will",5
Howling Kurtarr,4
Highland Sharpshooter,4
"Brel, Solist Apostate",4
Torgov's Trading Post,4
Mighty Strikes,4
"Syl, Hand of the Cabal",4
Colossal Pteriax,4
"Zal Chi, Herald of War",3
Display of Honor,3
Display of Ambition,3
Display of Instinct,3
Display of Knowledge,3
Display of Vision,3
Burn Them All,3
"Darya, Warrior Poet",3
Red Canyon Smuggler,3
Serene Meditant,3
Clan Huntcaller,3
Chunk Chunk,3
Hidden Road Smuggler,3
Great Valley Smuggler,3
Carnivorous Sauropod,3
Kosul Beastmaster,3
"Eaton, Seditious Noble",3
Xenan Temple,3
Lethrai Hideaway,3
Penitent Bull,3
Tumbling Sloth,3
Stoneshell Walker,3
Lethrai Courtier,3
Resilient Wagoneer,3
Bear Arms,3
"Zende, the Heart-Binder",3
"Quinn, Lone Wanderer",2
Bleak Basin Guide,2
Iceberg Shineefinder,2
Lost Scroll,2
Ijin's Workshop,2
Honeypot,2
Regent's Tomb,2
Tunneling Gargantua,2
Blaze,2
Back for More,2
Blistersting Claws,2
Gate Guardian,2
Deadeye,2
Howling Peak Smuggler,1
Ebon Dune Smuggler,1
Sadistic Ritualist,1
Dread,1
Bazaar Stampede,1
Talir's Unwinding,0
Makeshift Barrier,3
Iron Hook,3
Astromancer's Compass,2
Bannerman,2
Replicator Engine,1
Rumbling Contraption,1
